state,state_code,scraped_city,business_name,category,address,city,state_field,postal_code,phone,email,all_emails,website,rating,reviews,latitude,longitude,facebook,instagram,linkedin,youtube,tiktok,twitter,google_maps_url
California,CA,Los Angeles,Trailer Rental at U-Haul,Trailer rental service,"21707 S Western Ave, Torrance, CA 90501",Torrance,California,90501,(310) 533-7037,,,https://www.uhaul.com/Locations/Trailer-Rentals-near-Torrance-CA-90501/865025/?utm_source=gmb&utm_medium=trailer&utm_campaign=uhaulsmlm&utm_content=865025,5,3,33.8310973,-118.3092408,,,,,,,https://www.google.com/maps/search/?api=1&query=Trailer%20Rental%20at%20U-Haul&query_place_id=ChIJEZ7W_AJL3YARuZBwQCWPVvE
California,CA,Los Angeles,U-Haul Neighborhood Dealer,Truck rental agency,"26393 Vermont Ave, Harbor City, CA 90710",Harbor City,California,90710,(310) 626-0742,,,https://www.uhaul.com/Locations/Truck-Rentals-near-Harbor-city-CA-90710/002281/?utm_source=gmb&utm_medium=primary&utm_campaign=uhaulsmlm&utm_content=002281,5,5,33.782666,-118.297922,,,,,,,https://www.google.com/maps/search/?api=1&query=U-Haul%20Neighborhood%20Dealer&query_place_id=ChIJh7vpVfI13YARwHLcCxyiO2A
California,CA,Los Angeles,U-Haul Neighborhood Dealer,Truck rental agency,"25919 S Western Ave, Lomita, CA 90717",Lomita,California,90717,(310) 997-2371,,,https://www.uhaul.com/Locations/Truck-Rentals-near-Lomita-CA-90717/089184/?utm_source=gmb&utm_medium=primary&utm_campaign=uhaulsmlm&utm_content=089184,4.5,8,33.78788,-118.3081078,,,,,,,https://www.google.com/maps/search/?api=1&query=U-Haul%20Neighborhood%20Dealer&query_place_id=ChIJk3zdqnNK3YARCUVAkF_8_pM
California,CA,Los Angeles,U-Haul Neighborhood Dealer,Truck rental agency,"1551 E Young St, Wilmington, CA 90744",Wilmington,California,90744,(310) 507-0063,,,https://www.uhaul.com/Locations/Truck-Rentals-near-Wilmington-CA-90744/049614/?utm_source=gmb&utm_medium=primary&utm_campaign=uhaulsmlm&utm_content=049614,,,33.786495,-118.243334,,,,,,,https://www.google.com/maps/search/?api=1&query=U-Haul%20Neighborhood%20Dealer&query_place_id=ChIJNcwGzrM13YARI0ua3sKUvh4
California,CA,Los Angeles,Quickhaul hauling & Junk removal,Junk removal service,,,,,(213) 697-3766,,,,,,33.786671,-118.2990476,,,,,,,https://www.google.com/maps/search/?api=1&query=Quickhaul%20hauling%20%26%20Junk%20removal&query_place_id=ChIJ8Xs8rwOTcosRjw1fka526TQ
California,CA,Los Angeles,Long Beach Junk Removal,Waste management service,,,,,(562) 543-0623,,,,5,6,34.0139495,-118.365673,,,,,,,https://www.google.com/maps/search/?api=1&query=Long%20Beach%20Junk%20Removal&query_place_id=ChIJoW1fAVkz3YARhg_0xKhLdOc
California,CA,Los Angeles,U-Haul Neighborhood Dealer,Truck rental agency,"724 W Pacific Coast Hwy, Wilmington, CA 90744",Wilmington,California,90744,(310) 507-7190,,,https://www.uhaul.com/Locations/Truck-Rentals-near-Wilmington-CA-90744/039257/?utm_source=gmb&utm_medium=primary&utm_campaign=uhaulsmlm&utm_content=039257,4.8,5,33.790539,-118.271472,,,,,,,https://www.google.com/maps/search/?api=1&query=U-Haul%20Neighborhood%20Dealer&query_place_id=ChIJu1xOpXY13YARDkv_Sygv0Qk
California,CA,Los Angeles,JJK Roll-Off,Waste management service,"1617 Sepulveda Blvd Unit 3, Torrance, CA 90501",Torrance,California,90501,(310) 539-2382,,,http://jjkroll-off.com/,5,2,33.8170787,-118.3071523,https://www.facebook.com/Jjk-Roll-Off-Inc-195044370938818,,,,,,https://www.google.com/maps/search/?api=1&query=JJK%20Roll-Off&query_place_id=ChIJRQgwMZtK3YARr-g8FEzaqRg
California,CA,Los Angeles,U-Haul Neighborhood Dealer,Truck rental agency,"714 W Anaheim St, Wilmington, CA 90744",Wilmington,California,90744,(310) 835-1633,,,https://www.uhaul.com/Locations/Truck-Rentals-near-Wilmington-CA-90744/015135/?utm_source=gmb&utm_medium=primary&utm_campaign=uhaulsmlm&utm_content=015135,3.3,12,33.7794148,-118.2707355,,,,,,,https://www.google.com/maps/search/?api=1&query=U-Haul%20Neighborhood%20Dealer&query_place_id=ChIJ6Qim0t013YARP0HbAtr72Lc
California,CA,Los Angeles,U-Haul Neighborhood Dealer,Truck rental agency,"929 W Anaheim St, Wilmington, CA 90744",Wilmington,California,90744,(310) 835-2195,,,https://www.uhaul.com/Locations/Truck-Rentals-near-Wilmington-CA-90744/028695/?utm_source=gmb&utm_medium=primary&utm_campaign=uhaulsmlm&utm_content=028695,,,33.779792,-118.273853,,,,,,,https://www.google.com/maps/search/?api=1&query=U-Haul%20Neighborhood%20Dealer&query_place_id=ChIJY_Kf8TE13YARoNRFEBpARwE
California,CA,Los Angeles,West LA Hauling Junk Removal,Garbage collection service,"4858 W 17th St, Los Angeles, CA 90019",Los Angeles,California,90019,(323) 218-2000,Westlahauling@gmail.com,Westlahauling@gmail.com,http://westlahauling.com/,4.9,125,34.0452191,-118.3431516,,,,https://www.youtube.com/v/NNR3WcWQwGQ,,,https://www.google.com/maps/search/?api=1&query=West%20LA%20Hauling%20Junk%20Removal&query_place_id=ChIJazcFB_-4woARyylSislD0Z8
